actor,scenario,level,score,time,verb
1FE73160,2 - collaborateur,mission01,,2024-12-14 15:30:53.152000+00:00,launched
1FE73160,,,6000,2024-12-14 15:31:40.925000+00:00,completed
1FE73160,,,,2024-12-14 15:31:43.695000+00:00,exited
1FE73160,2 - collaborateur,mission02,,2024-12-14 15:31:44.154000+00:00,launched
1FE73160,,,5678,2024-12-14 15:32:08.369000+00:00,completed
1FE73160,,,,2024-12-14 15:32:11.094000+00:00,exited
1FE73160,2 - collaborateur,mission03,,2024-12-14 15:32:11.396000+00:00,launched
1FE73160,,,4291,2024-12-14 15:33:44.063000+00:00,completed
1FE73160,,,,2024-12-14 15:33:52.403000+00:00,exited
1FE73160,1 - explorateur,mission01,,2024-12-14 15:41:34.286000+00:00,launched
1FE73160,,,15500,2024-12-14 15:41:45.261000+00:00,completed
1FE73160,,,,2024-12-14 15:41:47.509000+00:00,exited
1FE73160,1 - explorateur,mission02,,2024-12-14 15:41:47.845000+00:00,launched
1FE73160,,,12999,2024-12-14 15:41:58.477000+00:00,completed
1FE73160,,,,2024-12-14 15:42:02.273000+00:00,exited
1FE73160,1 - explorateur,mission03,,2024-12-14 15:52:21.986000+00:00,launched
1FE73160,,,11750,2024-12-14 15:53:15.050000+00:00,completed
1FE73160,,,,2024-12-14 15:53:17.985000+00:00,exited
