actor,scenario,level,score,time,verb
2C4D00F5,0 - tutoriel,tutorial,,2025-01-07 10:05:37.107000+00:00,launched
2C4D00F5,,,10500,2025-01-07 10:05:50.381000+00:00,completed
2C4D00F5,,,,2025-01-07 10:05:52.613000+00:00,exited
2C4D00F5,1 - explorateur,mission01,,2025-01-07 10:06:14.417000+00:00,launched
2C4D00F5,,,15500,2025-01-07 10:06:25.263000+00:00,completed
2C4D00F5,,,,2025-01-07 10:06:30.062000+00:00,exited
2C4D00F5,1 - explorateur,mission02,,2025-01-07 10:06:30.375000+00:00,launched
2C4D00F5,,,11999,2025-01-07 10:06:45.352000+00:00,completed
2C4D00F5,,,,2025-01-07 10:06:56.257000+00:00,exited
2C4D00F5,1 - explorateur,mission03,,2025-01-07 10:06:56.478000+00:00,launched
2C4D00F5,,,11750,2025-01-07 10:07:17.944000+00:00,completed
2C4D00F5,,,,2025-01-07 10:07:23.996000+00:00,exited
2C4D00F5,1 - explorateur,mission04,,2025-01-07 10:07:24.228000+00:00,launched
2C4D00F5,,,10499,2025-01-07 10:07:54.637000+00:00,completed
2C4D00F5,,,,2025-01-07 10:08:06.255000+00:00,exited
2C4D00F5,1 - explorateur,mission05,,2025-01-07 10:08:06.570000+00:00,launched
2C4D00F5,,,8153,2025-01-07 10:09:27.071000+00:00,completed
2C4D00F5,,,,2025-01-07 10:09:32.025000+00:00,exited
2C4D00F5,1 - explorateur,mission06,,2025-01-07 10:09:32.413000+00:00,launched
2C4D00F5,,,5499,2025-01-07 10:10:08.578000+00:00,completed
2C4D00F5,,,,2025-01-07 10:10:12.877000+00:00,exited
2C4D00F5,1 - explorateur,mission07,,2025-01-07 10:10:13.176000+00:00,launched
2C4D00F5,,,9249,2025-01-07 10:11:24.377000+00:00,completed
2C4D00F5,,,,2025-01-07 10:11:31.291000+00:00,exited
2C4D00F5,1 - explorateur,mission08,,2025-01-07 10:11:31.596000+00:00,launched
2C4D00F5,,,9153,2025-01-07 10:12:35.014000+00:00,completed
2C4D00F5,,,,2025-01-07 10:12:38.418000+00:00,exited
2C4D00F5,4 - selectionneur,mission01,,2025-01-07 10:13:25.916000+00:00,launched
2C4D00F5,,,4858,2025-01-07 10:15:45.406000+00:00,completed
2C4D00F5,,,,2025-01-07 10:15:53.710000+00:00,exited
2C4D00F5,4 - selectionneur,mission02,,2025-01-07 10:15:53.930000+00:00,launched
2C4D00F5,,,4999,2025-01-07 10:17:13.695000+00:00,completed
2C4D00F5,,,,2025-01-07 10:17:20.807000+00:00,exited
2C4D00F5,4 - selectionneur,mission03,,2025-01-07 10:17:21.057000+00:00,launched
2C4D00F5,,,5833,2025-01-07 10:18:22.422000+00:00,completed
2C4D00F5,,,,2025-01-07 10:18:26.917000+00:00,exited
2C4D00F5,4 - selectionneur,mission04,,2025-01-07 10:18:27.152000+00:00,launched
2C4D00F5,,,4866,2025-01-07 10:20:38.564000+00:00,completed
2C4D00F5,,,,2025-01-07 10:20:45.170000+00:00,exited
2C4D00F5,4 - selectionneur,mission05,,2025-01-07 10:20:45.460000+00:00,launched
2C4D00F5,,,4109,2025-01-07 10:22:48.391000+00:00,completed
2C4D00F5,,,,2025-01-07 10:22:52.599000+00:00,exited
