actor,scenario,level,score,time,verb
673B61EA,0 - tutoriel,tutorial,,2025-01-08 11:27:14.972000+00:00,launched
673B61EA,,,10500,2025-01-08 11:27:29.168000+00:00,completed
673B61EA,,,,2025-01-08 11:27:31.355000+00:00,exited
673B61EA,1 - explorateur,mission01,,2025-01-08 11:27:45.557000+00:00,launched
673B61EA,,,15500,2025-01-08 11:27:55.043000+00:00,completed
673B61EA,,,,2025-01-08 11:27:59.448000+00:00,exited
673B61EA,1 - explorateur,mission02,,2025-01-08 11:27:59.744000+00:00,launched
673B61EA,,,12999,2025-01-08 11:28:11.663000+00:00,completed
673B61EA,,,,2025-01-08 11:28:15.006000+00:00,exited
673B61EA,1 - explorateur,mission03,,2025-01-08 11:28:15.220000+00:00,launched
673B61EA,,,11750,2025-01-08 11:28:32.749000+00:00,completed
673B61EA,,,,2025-01-08 11:28:34.919000+00:00,exited
673B61EA,1 - explorateur,mission04,,2025-01-08 11:28:35.222000+00:00,launched
673B61EA,,,10499,2025-01-08 11:29:02.909000+00:00,completed
673B61EA,,,,2025-01-08 11:29:07.136000+00:00,exited
673B61EA,1 - explorateur,mission05,,2025-01-08 11:29:07.512000+00:00,launched
673B61EA,,,9875,2025-01-08 11:29:56.953000+00:00,completed
673B61EA,,,,2025-01-08 11:29:59.151000+00:00,exited
673B61EA,1 - explorateur,mission06,,2025-01-08 11:29:59.449000+00:00,launched
673B61EA,,,5499,2025-01-08 11:30:36.908000+00:00,completed
673B61EA,,,,2025-01-08 11:30:39.085000+00:00,exited
673B61EA,2 - collaborateur,mission01,,2025-01-08 11:30:52.421000+00:00,launched
673B61EA,,,6000,2025-01-08 11:31:20.208000+00:00,completed
673B61EA,,,,2025-01-08 11:31:22.287000+00:00,exited
673B61EA,2 - collaborateur,mission02,,2025-01-08 11:31:22.726000+00:00,launched
673B61EA,,,5678,2025-01-08 11:31:50.774000+00:00,completed
673B61EA,,,,2025-01-08 11:31:53.398000+00:00,exited
673B61EA,3 - repetiteur,mission01,,2025-01-08 11:32:07.876000+00:00,launched
673B61EA,,,9875,2025-01-08 11:32:22.535000+00:00,completed
673B61EA,,,,2025-01-08 11:32:26.522000+00:00,exited
673B61EA,3 - repetiteur,mission02,,2025-01-08 11:32:26.807000+00:00,launched
673B61EA,,,11888,2025-01-08 11:32:50.868000+00:00,completed
673B61EA,,,,2025-01-08 11:32:53.225000+00:00,exited
673B61EA,3 - repetiteur,mission03,,2025-01-08 11:32:53.470000+00:00,launched
673B61EA,,,10050,2025-01-08 11:33:42.188000+00:00,completed
673B61EA,,,,2025-01-08 11:33:44.003000+00:00,exited
673B61EA,3 - repetiteur,mission04,,2025-01-08 11:33:44.257000+00:00,launched
673B61EA,,,4943,2025-01-08 11:34:28.432000+00:00,completed
673B61EA,,,,2025-01-08 11:34:35.204000+00:00,exited
673B61EA,3 - repetiteur,mission05,,2025-01-08 11:34:35.514000+00:00,launched
673B61EA,,,9655,2025-01-08 11:35:36.259000+00:00,completed
673B61EA,,,,2025-01-08 11:35:46.745000+00:00,exited
673B61EA,3 - repetiteur,mission06,,2025-01-08 11:35:47.034000+00:00,launched
673B61EA,,,10250,2025-01-08 11:39:33.454000+00:00,completed
673B61EA,,,,2025-01-08 11:41:09.803000+00:00,exited
673B61EA,3 - repetiteur,mission07,,2025-01-08 11:41:10.095000+00:00,launched
673B61EA,,,4929,2025-01-08 11:43:13.064000+00:00,completed
673B61EA,,,,2025-01-08 11:43:18.077000+00:00,exited
673B61EA,infiltration,mission01,,2025-01-08 11:43:44.772000+00:00,launched
673B61EA,,,10500,2025-01-08 11:43:57.628000+00:00,completed
673B61EA,,,,2025-01-08 11:44:02.509000+00:00,exited
673B61EA,infiltration,mission02,,2025-01-08 11:44:02.776000+00:00,launched
673B61EA,,,6750,2025-01-08 11:44:14.524000+00:00,completed
673B61EA,,,,2025-01-08 11:44:18.833000+00:00,exited
673B61EA,infiltration,mission03,,2025-01-08 11:44:19.106000+00:00,launched
673B61EA,,,6000,2025-01-08 11:44:35.987000+00:00,completed
673B61EA,,,,2025-01-08 11:44:40.047000+00:00,exited
673B61EA,infiltration,mission04,,2025-01-08 11:44:40.343000+00:00,launched
673B61EA,,,6000,2025-01-08 11:45:00.288000+00:00,completed
673B61EA,,,,2025-01-08 11:45:02.671000+00:00,exited
673B61EA,infiltration,mission05,,2025-01-08 11:45:03.108000+00:00,launched
673B61EA,,,6750,2025-01-08 11:46:16.797000+00:00,completed
673B61EA,,,,2025-01-08 11:46:21.704000+00:00,exited
673B61EA,infiltration,mission06,,2025-01-08 11:46:22.003000+00:00,launched
673B61EA,,,4875,2025-01-08 11:47:00.597000+00:00,completed
673B61EA,,,,2025-01-08 11:47:19.724000+00:00,exited
673B61EA,infiltration,mission07,,2025-01-08 11:47:20.280000+00:00,launched
673B61EA,,,4666,2025-01-08 11:48:34.404000+00:00,completed
673B61EA,,,,2025-01-08 11:48:42.703000+00:00,exited
673B61EA,infiltration,mission08,,2025-01-08 11:48:42.931000+00:00,launched
673B61EA,,,3976,2025-01-08 11:49:36.664000+00:00,completed
673B61EA,,,,2025-01-08 11:49:42.924000+00:00,exited
673B61EA,infiltration,mission09,,2025-01-08 11:49:43.225000+00:00,launched
673B61EA,,,5499,2025-01-08 11:50:29.817000+00:00,completed
673B61EA,,,,2025-01-08 11:50:50.707000+00:00,exited
673B61EA,infiltration,mission10,,2025-01-08 11:50:51.056000+00:00,launched
673B61EA,,,3999,2025-01-08 11:52:47.444000+00:00,completed
673B61EA,,,,2025-01-08 11:52:51.171000+00:00,exited
