actor,scenario,level,score,time,verb
76A9B5FD,0 - tutoriel,tutorial,,2025-01-08 12:32:29.372000+00:00,launched
76A9B5FD,,,10500,2025-01-08 12:32:39.226000+00:00,completed
76A9B5FD,,,,2025-01-08 12:32:44.236000+00:00,exited
76A9B5FD,1 - explorateur,mission01,,2025-01-08 12:32:55.710000+00:00,launched
76A9B5FD,,,15500,2025-01-08 12:33:04.017000+00:00,completed
76A9B5FD,,,,2025-01-08 12:33:09.016000+00:00,exited
76A9B5FD,2 - collaborateur,mission01,,2025-01-08 12:33:19.499000+00:00,launched
76A9B5FD,,,6000,2025-01-08 12:33:37.953000+00:00,completed
76A9B5FD,,,,2025-01-08 12:33:40.142000+00:00,exited
76A9B5FD,2 - collaborateur,mission02,,2025-01-08 12:33:40.428000+00:00,launched
76A9B5FD,,,5678,2025-01-08 12:33:59.859000+00:00,completed
76A9B5FD,,,,2025-01-08 12:34:02.394000+00:00,exited
76A9B5FD,3 - repetiteur,mission01,,2025-01-08 12:34:13.049000+00:00,launched
76A9B5FD,,,9875,2025-01-08 12:34:28.224000+00:00,completed
76A9B5FD,,,,2025-01-08 12:34:33.500000+00:00,exited
76A9B5FD,3 - repetiteur,mission02,,2025-01-08 12:34:33.766000+00:00,launched
76A9B5FD,,,11888,2025-01-08 12:34:47.561000+00:00,completed
76A9B5FD,,,,2025-01-08 12:34:49.982000+00:00,exited
76A9B5FD,3 - repetiteur,mission03,,2025-01-08 12:34:50.244000+00:00,launched
76A9B5FD,,,10050,2025-01-08 12:35:25.107000+00:00,completed
76A9B5FD,,,,2025-01-08 12:35:27.361000+00:00,exited
76A9B5FD,4 - selectionneur,mission01,,2025-01-08 12:35:37.241000+00:00,launched
76A9B5FD,,,4883,2025-01-08 12:36:31.153000+00:00,completed
76A9B5FD,,,,2025-01-08 12:36:45.556000+00:00,exited
76A9B5FD,4 - selectionneur,mission02,,2025-01-08 12:36:45.934000+00:00,launched
76A9B5FD,,,4999,2025-01-08 12:37:30.949000+00:00,completed
76A9B5FD,,,,2025-01-08 12:37:34.157000+00:00,exited
76A9B5FD,blocklymaze,mission01,,2025-01-08 12:37:43.790000+00:00,launched
76A9B5FD,,,7999,2025-01-08 12:37:54.124000+00:00,completed
76A9B5FD,,,,2025-01-08 12:37:56.473000+00:00,exited
76A9B5FD,blocklymaze,mission02,,2025-01-08 12:37:56.766000+00:00,launched
76A9B5FD,,,5499,2025-01-08 12:38:15.827000+00:00,completed
76A9B5FD,,,,2025-01-08 12:38:20.050000+00:00,exited
76A9B5FD,blocklymaze,mission03,,2025-01-08 12:38:20.458000+00:00,launched
76A9B5FD,,,,2025-01-08 12:38:47.634000+00:00,exited
76A9B5FD,blocklymaze,mission03,,2025-01-08 12:38:48.089000+00:00,launched
76A9B5FD,,,6888,2025-01-08 12:39:04.009000+00:00,completed
76A9B5FD,,,,2025-01-08 12:39:06.755000+00:00,exited
76A9B5FD,infiltration,mission01,,2025-01-08 12:39:23.008000+00:00,launched
76A9B5FD,,,10500,2025-01-08 12:39:38.758000+00:00,completed
76A9B5FD,,,,2025-01-08 12:39:42.251000+00:00,exited
76A9B5FD,infiltration,mission02,,2025-01-08 12:39:42.633000+00:00,launched
76A9B5FD,,,6750,2025-01-08 12:39:55.224000+00:00,completed
76A9B5FD,,,,2025-01-08 12:40:02.364000+00:00,exited
