actor,scenario,level,score,time,verb
7DD00230,infiltration,mission01,,2024-09-18 12:56:46.308000+00:00,launched
7DD00230,,,10500,2024-09-18 12:57:38.264000+00:00,completed
7DD00230,,,,2024-09-18 12:59:18.402000+00:00,exited
7DD00230,infiltration,mission02,,2024-09-18 12:59:18.661000+00:00,launched
7DD00230,,,6750,2024-09-18 12:59:53.848000+00:00,completed
7DD00230,,,,2024-09-18 12:59:58.008000+00:00,exited
7DD00230,infiltration,mission03,,2024-09-18 12:59:58.348000+00:00,launched
7DD00230,,,6000,2024-09-18 13:00:42.848000+00:00,completed
7DD00230,,,,2024-09-18 13:00:47.217000+00:00,exited
7DD00230,infiltration,mission04,,2024-09-18 13:00:47.466000+00:00,launched
7DD00230,,,6000,2024-09-18 13:01:43.050000+00:00,completed
7DD00230,,,,2024-09-18 13:01:49.838000+00:00,exited
7DD00230,infiltration,mission05,,2024-09-18 13:01:50.211000+00:00,launched
7DD00230,,,6750,2024-09-18 13:03:29.727000+00:00,completed
7DD00230,,,,2024-09-18 13:03:40.795000+00:00,exited
7DD00230,infiltration,mission06,,2024-09-18 13:03:41.030000+00:00,launched
7DD00230,,,4875,2024-09-18 13:04:50.889000+00:00,completed
7DD00230,,,,2024-09-18 13:04:55.239000+00:00,exited
7DD00230,infiltration,mission07,,2024-09-18 13:04:55.807000+00:00,launched
7DD00230,infiltration,mission07,,2024-09-27 13:12:10.427000+00:00,launched
7DD00230,,,4666,2024-09-27 13:13:03.353000+00:00,completed
7DD00230,,,,2024-09-27 13:13:06.323000+00:00,exited
7DD00230,infiltration,mission08,,2024-09-27 13:13:06.724000+00:00,launched
7DD00230,,,3976,2024-09-27 13:16:07.878000+00:00,completed
7DD00230,,,,2024-09-27 13:16:18.035000+00:00,exited
7DD00230,infiltration,mission09,,2024-09-27 13:16:18.395000+00:00,launched
7DD00230,,,5499,2024-09-27 13:17:11.639000+00:00,completed
7DD00230,,,,2024-09-27 13:17:14.745000+00:00,exited
7DD00230,infiltration,mission10,,2024-09-27 13:17:15.038000+00:00,launched
7DD00230,,,4071,2024-09-27 13:18:18.820000+00:00,completed
7DD00230,,,,2024-09-27 13:18:20.908000+00:00,exited
7DD00230,infiltration,mission11,,2024-09-27 13:18:21.418000+00:00,launched
7DD00230,,,3854,2024-09-27 13:18:50.025000+00:00,completed
7DD00230,,,,2024-09-27 13:18:52.755000+00:00,exited
7DD00230,infiltration,mission12,,2024-09-27 13:18:52.985000+00:00,launched
7DD00230,,,,2024-09-27 13:19:14.063000+00:00,completed
7DD00230,,,,2024-09-27 13:19:16.977000+00:00,exited
7DD00230,infiltration,mission12,,2024-09-27 13:19:17.196000+00:00,launched
7DD00230,,,6888,2024-09-27 13:19:43.853000+00:00,completed
7DD00230,,,,2024-09-27 13:19:52.868000+00:00,exited
7DD00230,infiltration,mission13,,2024-09-27 13:19:53.164000+00:00,launched
7DD00230,infiltration,mission12,,2024-10-03 08:18:16.607000+00:00,launched
7DD00230,,,6888,2024-10-03 08:19:05.693000+00:00,completed
7DD00230,,,,2024-10-03 08:19:10.052000+00:00,exited
7DD00230,infiltration,mission11,,2024-10-03 08:19:15.776000+00:00,launched
7DD00230,,,,2024-10-03 08:19:38.219000+00:00,exited
7DD00230,infiltration,mission09,,2024-10-03 08:19:46.468000+00:00,launched
7DD00230,,,,2024-10-03 08:20:43.996000+00:00,exited
7DD00230,infiltration,mission07,,2024-10-03 08:20:49.602000+00:00,launched
7DD00230,,,,2024-10-03 08:22:40.568000+00:00,exited
7DD00230,infiltration,mission13,,2024-10-03 08:22:46.768000+00:00,launched
7DD00230,infiltration,mission13,,2024-10-03 08:39:46.336000+00:00,launched
7DD00230,,,,2024-10-03 08:41:05.878000+00:00,exited
7DD00230,infiltration,mission06,,2024-10-03 08:41:09.252000+00:00,launched
7DD00230,infiltration,mission12,,2024-10-05 14:08:06.769000+00:00,launched
7DD00230,,,,2024-10-05 14:08:28.792000+00:00,exited
7DD00230,infiltration,mission10,,2024-10-05 14:08:35.265000+00:00,launched
7DD00230,,,,2024-10-05 14:09:45.807000+00:00,exited
7DD00230,infiltration,mission13,,2024-10-05 14:09:51.483000+00:00,launched
7DD00230,,,,2024-10-05 14:11:18.959000+00:00,exited
7DD00230,infiltration,mission06,,2024-10-05 14:11:23.666000+00:00,launched
7DD00230,,,,2024-10-05 14:11:32.918000+00:00,exited
7DD00230,infiltration,mission07,,2024-10-05 14:12:08.834000+00:00,launched
7DD00230,,,4666,2024-10-05 14:18:15.922000+00:00,completed
7DD00230,,,,2024-10-05 14:22:07.536000+00:00,exited
7DD00230,0 - tutoriel,tutorial,,2024-10-05 14:22:19.601000+00:00,launched
7DD00230,,,10500,2024-10-05 14:22:32.383000+00:00,completed
7DD00230,,,,2024-10-05 14:28:06.149000+00:00,exited
7DD00230,2 - collaborateur,mission01,,2024-10-05 14:28:20.689000+00:00,launched
7DD00230,,,6000,2024-10-05 14:28:51.795000+00:00,completed
7DD00230,,,,2024-10-05 14:28:54.974000+00:00,exited
7DD00230,2 - collaborateur,mission02,,2024-10-05 14:28:55.215000+00:00,launched
7DD00230,,,5678,2024-10-05 14:29:22.720000+00:00,completed
7DD00230,,,,2024-10-05 14:29:24.770000+00:00,exited
7DD00230,2 - collaborateur,mission03,,2024-10-05 14:29:25.030000+00:00,launched
7DD00230,,,4483,2024-10-05 14:30:46.727000+00:00,completed
7DD00230,,,,2024-10-05 14:30:49.473000+00:00,exited
7DD00230,2 - collaborateur,mission04,,2024-10-05 14:30:49.716000+00:00,launched
7DD00230,,,,2024-10-05 14:31:43.069000+00:00,exited
7DD00230,infiltration,mission13,,2024-10-05 14:31:59.696000+00:00,launched
7DD00230,,,4333,2024-10-05 14:33:11.671000+00:00,completed
7DD00230,,,,2024-10-05 14:33:14.254000+00:00,exited
7DD00230,infiltration,mission14,,2024-10-05 14:33:14.469000+00:00,launched
7DD00230,,,5261,2024-10-05 14:33:51.318000+00:00,completed
7DD00230,,,,2024-10-05 14:33:56.912000+00:00,exited
7DD00230,infiltration,mission15,,2024-10-05 14:33:57.143000+00:00,launched
7DD00230,,,4999,2024-10-05 14:34:47.970000+00:00,completed
7DD00230,,,,2024-10-05 14:34:49.186000+00:00,exited
7DD00230,infiltration,mission16,,2024-10-05 14:34:49.459000+00:00,launched
7DD00230,,,5833,2024-10-05 14:35:07.114000+00:00,completed
7DD00230,,,,2024-10-05 14:35:11.447000+00:00,exited
7DD00230,infiltration,mission17,,2024-10-05 14:35:11.705000+00:00,launched
7DD00230,,,4166,2024-10-05 14:36:14.268000+00:00,completed
7DD00230,,,,2024-10-05 14:36:17.375000+00:00,exited
7DD00230,infiltration,mission18,,2024-10-05 14:36:17.905000+00:00,launched
7DD00230,,,4812,2024-10-05 14:36:57.531000+00:00,completed
7DD00230,,,,2024-10-05 14:37:00.749000+00:00,exited
7DD00230,infiltration,mission19,,2024-10-05 14:37:01.312000+00:00,launched
7DD00230,,,4325,2024-10-05 14:40:42.992000+00:00,completed
7DD00230,,,,2024-10-05 14:40:48.823000+00:00,exited
7DD00230,infiltration,mission20,,2024-10-05 14:40:49.142000+00:00,launched
7DD00230,,,3883,2024-10-05 14:42:59.544000+00:00,completed
7DD00230,,,,2024-10-05 14:43:20.488000+00:00,exited
7DD00230,infiltration,mission21,,2024-10-05 14:43:20.772000+00:00,launched
7DD00230,,,4666,2024-10-05 14:44:09.713000+00:00,completed
7DD00230,,,,2024-10-05 14:44:16.752000+00:00,exited
7DD00230,infiltration,mission22,,2024-10-05 14:44:17.018000+00:00,launched
7DD00230,,,6666,2024-10-05 14:44:26.115000+00:00,completed
7DD00230,,,,2024-10-05 14:44:44.155000+00:00,exited
7DD00230,infiltration,mission22,,2024-10-05 14:44:44.424000+00:00,launched
7DD00230,,,6666,2024-10-05 14:45:31.176000+00:00,completed
7DD00230,,,,2024-10-05 14:46:03.821000+00:00,exited
7DD00230,infiltration,mission22,,2024-10-05 14:46:04.260000+00:00,launched
7DD00230,,,6666,2024-10-05 14:46:21.619000+00:00,completed
7DD00230,,,,2024-10-05 14:46:28.469000+00:00,exited
7DD00230,infiltration,mission22,,2024-10-05 14:46:28.768000+00:00,launched
7DD00230,,,6666,2024-10-05 14:46:37.540000+00:00,completed
7DD00230,infiltration,mission22,,2024-10-05 16:23:28.125000+00:00,launched
7DD00230,,,,2024-10-05 16:23:35.802000+00:00,exited
7DD00230,infiltration,mission21,,2024-10-05 16:23:40.905000+00:00,launched
7DD00230,,,,2024-10-05 16:24:23.107000+00:00,exited
7DD00230,infiltration,mission20,,2024-10-05 16:24:29.189000+00:00,launched
7DD00230,,,,2024-10-05 16:26:23.457000+00:00,exited
7DD00230,infiltration,mission11,,2024-10-05 16:26:30.607000+00:00,launched
