actor,scenario,level,score,time,verb
8B0CCC2A,infiltration,mission01,,2024-12-31 16:45:38.479000+00:00,launched
8B0CCC2A,,,10500,2024-12-31 16:46:15.938000+00:00,completed
8B0CCC2A,,,,2024-12-31 16:46:18.560000+00:00,exited
8B0CCC2A,infiltration,mission02,,2024-12-31 16:46:18.828000+00:00,launched
8B0CCC2A,,,6750,2024-12-31 16:46:32.747000+00:00,completed
8B0CCC2A,,,,2024-12-31 16:46:34.546000+00:00,exited
8B0CCC2A,infiltration,mission03,,2024-12-31 16:46:34.802000+00:00,launched
8B0CCC2A,,,6000,2024-12-31 16:46:58.499000+00:00,completed
8B0CCC2A,,,,2024-12-31 16:47:00.320000+00:00,exited
8B0CCC2A,infiltration,mission04,,2024-12-31 16:47:00.601000+00:00,launched
8B0CCC2A,,,6000,2024-12-31 16:47:30.927000+00:00,completed
8B0CCC2A,,,,2024-12-31 16:47:33.951000+00:00,exited
8B0CCC2A,infiltration,mission05,,2024-12-31 16:47:34.303000+00:00,launched
8B0CCC2A,,,6750,2024-12-31 16:48:05.249000+00:00,completed
8B0CCC2A,,,,2024-12-31 16:48:06.996000+00:00,exited
8B0CCC2A,infiltration,mission06,,2024-12-31 16:48:07.298000+00:00,launched
8B0CCC2A,,,4875,2024-12-31 16:48:48.172000+00:00,completed
8B0CCC2A,,,,2024-12-31 16:48:51.089000+00:00,exited
8B0CCC2A,infiltration,mission07,,2024-12-31 16:48:51.672000+00:00,launched
8B0CCC2A,,,4666,2024-12-31 16:49:43.875000+00:00,completed
8B0CCC2A,,,,2024-12-31 16:49:45.563000+00:00,exited
8B0CCC2A,infiltration,mission08,,2024-12-31 16:49:45.836000+00:00,launched
8B0CCC2A,,,3976,2024-12-31 16:50:16.481000+00:00,completed
8B0CCC2A,,,,2024-12-31 16:50:18.839000+00:00,exited
8B0CCC2A,infiltration,mission09,,2024-12-31 16:50:19.166000+00:00,launched
8B0CCC2A,,,5499,2024-12-31 16:51:01.269000+00:00,completed
8B0CCC2A,,,,2024-12-31 16:51:02.936000+00:00,exited
8B0CCC2A,infiltration,mission10,,2024-12-31 16:51:03.266000+00:00,launched
8B0CCC2A,,,4071,2024-12-31 16:53:02.510000+00:00,completed
8B0CCC2A,,,,2024-12-31 16:53:09.864000+00:00,exited
8B0CCC2A,infiltration,mission11,,2024-12-31 16:53:10.379000+00:00,launched
8B0CCC2A,,,3854,2024-12-31 16:54:22.046000+00:00,completed
8B0CCC2A,,,,2024-12-31 16:54:24.007000+00:00,exited
8B0CCC2A,infiltration,mission12,,2024-12-31 16:54:24.239000+00:00,launched
8B0CCC2A,,,6888,2024-12-31 16:55:20.634000+00:00,completed
8B0CCC2A,,,,2024-12-31 16:55:23.230000+00:00,exited
8B0CCC2A,infiltration,mission13,,2024-12-31 16:55:23.496000+00:00,launched
8B0CCC2A,,,,2024-12-31 16:58:48.376000+00:00,exited
8B0CCC2A,infiltration,mission13,,2024-12-31 16:58:48.635000+00:00,launched
8B0CCC2A,,,4333,2024-12-31 16:59:34.209000+00:00,completed
8B0CCC2A,,,,2024-12-31 16:59:54.605000+00:00,exited
8B0CCC2A,infiltration,mission14,,2024-12-31 18:11:45.830000+00:00,launched
8B0CCC2A,,,4261,2024-12-31 18:12:48.885000+00:00,completed
8B0CCC2A,,,,2024-12-31 18:13:07.026000+00:00,exited
8B0CCC2A,infiltration,mission15,,2024-12-31 18:13:07.194000+00:00,launched
8B0CCC2A,,,4999,2024-12-31 18:16:41.118000+00:00,completed
8B0CCC2A,,,,2024-12-31 18:16:44.647000+00:00,exited
8B0CCC2A,infiltration,mission16,,2024-12-31 18:16:44.818000+00:00,launched
8B0CCC2A,,,5833,2024-12-31 18:17:18.739000+00:00,completed
8B0CCC2A,,,,2024-12-31 18:17:22.118000+00:00,exited
8B0CCC2A,infiltration,mission17,,2024-12-31 18:17:22.283000+00:00,launched
8B0CCC2A,,,4166,2024-12-31 18:19:10.141000+00:00,completed
8B0CCC2A,,,,2024-12-31 18:19:23.384000+00:00,exited
8B0CCC2A,infiltration,mission18,,2024-12-31 18:19:23.804000+00:00,launched
8B0CCC2A,,,4812,2024-12-31 18:23:00.587000+00:00,completed
8B0CCC2A,,,,2024-12-31 18:23:09.916000+00:00,exited
