actor,scenario,level,score,time,verb
8C4EC77C,,,9875,2024-12-13 08:43:22.512000+00:00,completed
8C4EC77C,,,,2024-12-13 08:43:24.164000+00:00,exited
8C4EC77C,1 - explorateur,mission06,,2024-12-13 08:43:24.441000+00:00,launched
8C4EC77C,,,,2024-12-13 08:43:55.661000+00:00,exited
8C4EC77C,1 - explorateur,mission06,,2024-12-13 08:43:55.946000+00:00,launched
8C4EC77C,,,,2024-12-13 08:44:15.635000+00:00,exited
8C4EC77C,1 - explorateur,mission06,,2024-12-13 08:44:15.897000+00:00,launched
8C4EC77C,,,4875,2024-12-13 08:44:34.932000+00:00,completed
8C4EC77C,,,,2024-12-13 08:44:37.115000+00:00,exited
8C4EC77C,1 - explorateur,mission07,,2024-12-13 08:44:37.380000+00:00,launched
8C4EC77C,,,9249,2024-12-13 08:45:35.723000+00:00,completed
8C4EC77C,,,,2024-12-13 08:45:36.810000+00:00,exited
8C4EC77C,1 - explorateur,mission08,,2024-12-13 08:45:37.086000+00:00,launched
8C4EC77C,,,,2024-12-13 08:47:16.160000+00:00,exited
8C4EC77C,1 - explorateur,mission08,,2024-12-13 08:47:16.403000+00:00,launched
8C4EC77C,,,,2024-12-13 08:48:28.712000+00:00,exited
8C4EC77C,1 - explorateur,mission08,,2024-12-13 08:48:28.974000+00:00,launched
8C4EC77C,,,8999,2024-12-13 08:49:03.198000+00:00,completed
8C4EC77C,,,,2024-12-13 08:49:05.959000+00:00,exited
8C4EC77C,1 - explorateur,mission08,,2024-12-13 08:49:09.510000+00:00,launched
