actor,scenario,level,score,time,verb
B235537C,3 - repetiteur,mission01,,2025-01-07 10:50:08.771000+00:00,launched
B235537C,,,9875,2025-01-07 10:50:41.892000+00:00,completed
B235537C,,,,2025-01-07 10:50:45.260000+00:00,exited
B235537C,3 - repetiteur,mission02,,2025-01-07 10:50:45.527000+00:00,launched
B235537C,,,11888,2025-01-07 10:51:02.801000+00:00,completed
B235537C,,,,2025-01-07 10:51:10.172000+00:00,exited
B235537C,3 - repetiteur,mission03,,2025-01-07 10:51:10.399000+00:00,launched
B235537C,,,10050,2025-01-07 10:52:01.086000+00:00,completed
B235537C,,,,2025-01-07 10:52:05.108000+00:00,exited
B235537C,3 - repetiteur,mission04,,2025-01-07 10:52:05.349000+00:00,launched
B235537C,,,4943,2025-01-07 10:53:05.098000+00:00,completed
B235537C,,,,2025-01-07 10:53:11.170000+00:00,exited
B235537C,3 - repetiteur,mission05,,2025-01-07 10:53:11.452000+00:00,launched
B235537C,,,9655,2025-01-07 10:54:09.439000+00:00,completed
B235537C,,,,2025-01-07 10:54:19.088000+00:00,exited
B235537C,3 - repetiteur,mission06,,2025-01-07 10:54:19.323000+00:00,launched
B235537C,,,10250,2025-01-07 10:57:19.206000+00:00,completed
B235537C,,,,2025-01-07 10:57:24.320000+00:00,exited
B235537C,4 - selectionneur,mission01,,2025-01-07 10:57:46.960000+00:00,launched
B235537C,,,4883,2025-01-07 10:58:49.926000+00:00,completed
B235537C,,,,2025-01-07 10:58:53.616000+00:00,exited
B235537C,4 - selectionneur,mission02,,2025-01-07 10:58:53.844000+00:00,launched
B235537C,,,4999,2025-01-07 10:59:32.755000+00:00,completed
B235537C,,,,2025-01-07 10:59:53.454000+00:00,exited
B235537C,4 - selectionneur,mission03,,2025-01-07 10:59:53.723000+00:00,launched
B235537C,,,5833,2025-01-07 11:00:28.368000+00:00,completed
B235537C,,,,2025-01-07 11:00:31.041000+00:00,exited
B235537C,2 - collaborateur,mission01,,2025-01-07 11:00:48.756000+00:00,launched
B235537C,,,6000,2025-01-07 11:01:17.878000+00:00,completed
B235537C,,,,2025-01-07 11:01:20.545000+00:00,exited
B235537C,2 - collaborateur,mission02,,2025-01-07 11:01:20.907000+00:00,launched
B235537C,,,5678,2025-01-07 11:01:50.490000+00:00,completed
B235537C,,,,2025-01-07 11:01:53.746000+00:00,exited
B235537C,2 - collaborateur,mission03,,2025-01-07 11:01:54.053000+00:00,launched
B235537C,,,4483,2025-01-07 11:02:56.681000+00:00,completed
B235537C,,,,2025-01-07 11:03:01.606000+00:00,exited
B235537C,blocklymaze,mission01,,2025-01-07 11:03:50.478000+00:00,launched
B235537C,,,7999,2025-01-07 11:04:03.057000+00:00,completed
B235537C,,,,2025-01-07 11:04:05.146000+00:00,exited
B235537C,blocklymaze,mission02,,2025-01-07 11:04:05.412000+00:00,launched
B235537C,,,5499,2025-01-07 11:04:29.171000+00:00,completed
B235537C,,,,2025-01-07 11:04:33.191000+00:00,exited
B235537C,blocklymaze,mission03,,2025-01-07 11:04:33.448000+00:00,launched
B235537C,,,7047,2025-01-07 11:04:56.187000+00:00,completed
B235537C,,,,2025-01-07 11:04:58.834000+00:00,exited
B235537C,blocklymaze,mission04,,2025-01-07 11:04:59.106000+00:00,launched
B235537C,,,4943,2025-01-07 11:05:39.628000+00:00,completed
B235537C,,,,2025-01-07 11:05:44.644000+00:00,exited
